;name;property;chosen;;
242;Average gain in surrounding hydrophobicity (Ponnuswamy et al., 1980);hydrophobicity;;;
243;Average gain ratio in surrounding hydrophobicity (Ponnuswamy et al., 1980);hydrophobicity;;;
244;Surrounding hydrophobicity in alpha-helix (Ponnuswamy et al., 1980);helix;;;
245;Surrounding hydrophobicity in beta-sheet (Ponnuswamy et al., 1980);sheet;;;
246;Surrounding hydrophobicity in turn (Ponnuswamy et al., 1980);hydrophobicity;;;
247;Accessibility reduction ratio (Ponnuswamy et al., 1980);;;;
248;Average number of surrounding residues (Ponnuswamy et al., 1980);;;;
249;Intercept in regression analysis (Prabhakaran-Ponnuswamy, 1982);;;;
250;Slope in regression analysis x 1.0E1 (Prabhakaran-Ponnuswamy, 1982);;;;
251;Correlation coefficient in regression analysis (Prabhakaran-Ponnuswamy, 1982);;;;
252;Hydrophobicity (Prabhakaran, 1990);hydrophobicity;1;;
253;Relative frequency in alpha-helix (Prabhakaran, 1990);helix;;;
254;Relative frequency in beta-sheet (Prabhakaran, 1990);sheet;1;;
255;Relative frequency in reverse-turn (Prabhakaran, 1990);;;;
256;Helix-coil equilibrium constant (Ptitsyn-Finkelstein, 1983);helix;;;
257;Beta-coil equilibrium constant (Ptitsyn-Finkelstein, 1983);;;;
258;Weights for alpha-helix at the window position of -6 (Qian-Sejnowski, 1988);helix;;;
259;Weights for alpha-helix at the window position of -5 (Qian-Sejnowski, 1988);helix;;;
260;Weights for alpha-helix at the window position of -4 (Qian-Sejnowski, 1988);helix;;;
261;Weights for alpha-helix at the window position of -3 (Qian-Sejnowski, 1988);helix;;;
262;Weights for alpha-helix at the window position of -2 (Qian-Sejnowski, 1988);helix;;;
263;Weights for alpha-helix at the window position of -1 (Qian-Sejnowski, 1988);helix;;;
264;Weights for alpha-helix at the window position of 0 (Qian-Sejnowski, 1988);helix;;;
265;Weights for alpha-helix at the window position of 1 (Qian-Sejnowski, 1988);helix;;;
266;Weights for alpha-helix at the window position of 2 (Qian-Sejnowski, 1988);helix;;;
267;Weights for alpha-helix at the window position of 3 (Qian-Sejnowski, 1988);helix;;;
268;Weights for alpha-helix at the window position of 4 (Qian-Sejnowski, 1988);helix;;;
269;Weights for alpha-helix at the window position of 5 (Qian-Sejnowski, 1988);helix;;;
270;Weights for alpha-helix at the window position of 6 (Qian-Sejnowski, 1988);helix;;;
271;Weights for beta-sheet at the window position of -6 (Qian-Sejnowski, 1988);sheet;;;
272;Weights for beta-sheet at the window position of -5 (Qian-Sejnowski, 1988);sheet;;;
273;Weights for beta-sheet at the window position of -4 (Qian-Sejnowski, 1988);sheet;;;
274;Weights for beta-sheet at the window position of -3 (Qian-Sejnowski, 1988);sheet;;;
275;Weights for beta-sheet at the window position of -2 (Qian-Sejnowski, 1988);sheet;;;
276;Weights for beta-sheet at the window position of -1 (Qian-Sejnowski, 1988);sheet;;;
277;Weights for beta-sheet at the window position of 0 (Qian-Sejnowski, 1988);sheet;;;
278;Weights for beta-sheet at the window position of 1 (Qian-Sejnowski, 1988);sheet;;;
279;Weights for beta-sheet at the window position of 2 (Qian-Sejnowski, 1988);sheet;;;
280;Weights for beta-sheet at the window position of 3 (Qian-Sejnowski, 1988);sheet;;;
281;Weights for beta-sheet at the window position of 4 (Qian-Sejnowski, 1988);sheet;;;
282;Weights for beta-sheet at the window position of 5 (Qian-Sejnowski, 1988);sheet;;;
283;Weights for beta-sheet at the window position of 6 (Qian-Sejnowski, 1988);sheet;;;
284;Weights for coil at the window position of -6 (Qian-Sejnowski, 1988);;;;
285;Weights for coil at the window position of -5 (Qian-Sejnowski, 1988);;;;
286;Weights for coil at the window position of -4 (Qian-Sejnowski, 1988);;;;
287;Weights for coil at the window position of -3 (Qian-Sejnowski, 1988);;;;
288;Weights for coil at the window position of -2 (Qian-Sejnowski, 1988);;;;
289;Weights for coil at the window position of -1 (Qian-Sejnowski, 1988);;;;
290;Weights for coil at the window position of 0 (Qian-Sejnowski, 1988);;;;
291;Weights for coil at the window position of 1 (Qian-Sejnowski, 1988);;;;
292;Weights for coil at the window position of 2 (Qian-Sejnowski, 1988);;;;
293;Weights for coil at the window position of 3 (Qian-Sejnowski, 1988);;;;
294;Weights for coil at the window position of 4 (Qian-Sejnowski, 1988);;;;
295;Weights for coil at the window position of 5 (Qian-Sejnowski, 1988);;;;
296;Weights for coil at the window position of 6 (Qian-Sejnowski, 1988);;;;
297;Average reduced distance for C-alpha (Rackovsky-Scheraga, 1977);;;;
298;Average reduced distance for side chain (Rackovsky-Scheraga, 1977);;;;
299;Side chain orientational preference (Rackovsky-Scheraga, 1977);;;;
300;Average relative fractional occurrence in A0(i) (Rackovsky-Scheraga, 1982);;;;
301;Average relative fractional occurrence in AR(i) (Rackovsky-Scheraga, 1982);;;;
302;Average relative fractional occurrence in AL(i) (Rackovsky-Scheraga, 1982);;;;
303;Average relative fractional occurrence in EL(i) (Rackovsky-Scheraga, 1982);;;;
304;Average relative fractional occurrence in E0(i) (Rackovsky-Scheraga, 1982);;;;
305;Average relative fractional occurrence in ER(i) (Rackovsky-Scheraga, 1982);;;;
306;Average relative fractional occurrence in A0(i-1) (Rackovsky-Scheraga, 1982);;;;
307;Average relative fractional occurrence in AR(i-1) (Rackovsky-Scheraga, 1982);;;;
308;Average relative fractional occurrence in AL(i-1) (Rackovsky-Scheraga, 1982);;;;
309;Average relative fractional occurrence in EL(i-1) (Rackovsky-Scheraga, 1982);;;;
310;Average relative fractional occurrence in E0(i-1) (Rackovsky-Scheraga, 1982);;;;
311;Average relative fractional occurrence in ER(i-1) (Rackovsky-Scheraga, 1982);;;;
312;Value of theta(i) (Rackovsky-Scheraga, 1982);;;;
313;Value of theta(i-1) (Rackovsky-Scheraga, 1982);;;;
314;Transfer free energy from chx to wat (Radzicka-Wolfenden, 1988);;;;
315;Transfer free energy from oct to wat (Radzicka-Wolfenden, 1988);;;;
316;Transfer free energy from vap to chx (Radzicka-Wolfenden, 1988);;;;
317;Transfer free energy from chx to oct (Radzicka-Wolfenden, 1988);;;;
318;Transfer free energy from vap to oct (Radzicka-Wolfenden, 1988);;;;
319;Accessible surface area (Radzicka-Wolfenden, 1988);solvent surface area;1;;
320;Energy transfer from out to in(95%buried) (Radzicka-Wolfenden, 1988);;;;
321;Mean polarity (Radzicka-Wolfenden, 1988);polarity;1;;
322;"Relative preference value at N"" (Richardson-Richardson, 1988)";;;;
323;Relative preference value at N' (Richardson-Richardson, 1988);;;;
324;Relative preference value at N-cap (Richardson-Richardson, 1988);;;;
325;Relative preference value at N1 (Richardson-Richardson, 1988);;;;
326;Relative preference value at N2 (Richardson-Richardson, 1988);;;;
327;Relative preference value at N3 (Richardson-Richardson, 1988);;;;
328;Relative preference value at N4 (Richardson-Richardson, 1988);;;;
329;Relative preference value at N5 (Richardson-Richardson, 1988);;;;
330;Relative preference value at Mid (Richardson-Richardson, 1988);;;;
331;Relative preference value at C5 (Richardson-Richardson, 1988);;;;
332;Relative preference value at C4 (Richardson-Richardson, 1988);;;;
333;Relative preference value at C3 (Richardson-Richardson, 1988);;;;
334;Relative preference value at C2 (Richardson-Richardson, 1988);;;;
335;Relative preference value at C1 (Richardson-Richardson, 1988);;;;
336;Relative preference value at C-cap (Richardson-Richardson, 1988);;;;
337;Relative preference value at C' (Richardson-Richardson, 1988);;;;
338;"Relative preference value at C"" (Richardson-Richardson, 1988)";;;;
339;Information measure for alpha-helix (Robson-Suzuki, 1976);helix;;;
340;Information measure for N-terminal helix (Robson-Suzuki, 1976);helix;;;
341;Information measure for middle helix (Robson-Suzuki, 1976);helix;;;
342;Information measure for C-terminal helix (Robson-Suzuki, 1976);helix;;;
343;Information measure for extended (Robson-Suzuki, 1976);;;;
344;Information measure for pleated-sheet (Robson-Suzuki, 1976);sheet;;;
345;Information measure for extended without H-bond (Robson-Suzuki, 1976);;;;
346;Information measure for turn (Robson-Suzuki, 1976);;;;
347;Information measure for N-terminal turn (Robson-Suzuki, 1976);;;;
348;Information measure for middle turn (Robson-Suzuki, 1976);;;;
349;Information measure for C-terminal turn (Robson-Suzuki, 1976);;;;
350;Information measure for coil (Robson-Suzuki, 1976);;;;
351;Information measure for loop (Robson-Suzuki, 1976);;;;
352;Hydration free energy (Robson-Osguthorpe, 1979);;;;
353;Mean area buried on transfer (Rose et al., 1985);;;;
354;Mean fractional area loss (Rose et al., 1985);;;;
355;Side chain hydropathy, uncorrected for solvation (Roseman, 1988);;;;
356;Side chain hydropathy, corrected for solvation (Roseman, 1988);;;;
357;Loss of Side chain hydropathy by helix formation (Roseman, 1988);helix;;;
358;Transfer free energy (Simon, 1976), Cited by Charton-Charton (1982);;;;
359;Principal component I (Sneath, 1966);;;;
360;Principal component II (Sneath, 1966);;;;
361;Principal component III (Sneath, 1966);;;;
362;Principal component IV (Sneath, 1966);;;;
363;Zimm-Bragg parameter s at 20 C (Sueki et al., 1984);;;;
364;Zimm-Bragg parameter sigma x 1.0E4 (Sueki et al., 1984);;;;
365;Optimal matching hydrophobicity (Sweet-Eisenberg, 1983);hydrophobicity;1;;
366;Normalized frequency of alpha-helix (Tanaka-Scheraga, 1977);helix;;;
367;Normalized frequency of isolated helix (Tanaka-Scheraga, 1977);helix;;;
368;Normalized frequency of extended structure (Tanaka-Scheraga, 1977);;;;
369;Normalized frequency of chain reversal R (Tanaka-Scheraga, 1977);;;;
370;Normalized frequency of chain reversal S (Tanaka-Scheraga, 1977);;;;
371;Normalized frequency of chain reversal D (Tanaka-Scheraga, 1977);;;;
372;Normalized frequency of left-handed helix (Tanaka-Scheraga, 1977);helix;;;
373;Normalized frequency of zeta R (Tanaka-Scheraga, 1977);;;;
374;Normalized frequency of coil (Tanaka-Scheraga, 1977);;;;
375;Normalized frequency of chain reversal (Tanaka-Scheraga, 1977);;;;
376;Relative population of conformational state A (Vasquez et al., 1983);;;;
377;Relative population of conformational state C (Vasquez et al., 1983);;;;
378;Relative population of conformational state E (Vasquez et al., 1983);;;;
379;Electron-ion interaction potential (Veljkovic et al., 1985);;;;
380;Bitterness (Venanzi, 1984);;;;
381;Transfer free energy to lipophilic phase (von Heijne-Blomberg, 1979);;;;
382;Average interactions per side chain atom (Warme-Morgan, 1978);;;;
383;RF value in high salt chromatography (Weber-Lacey, 1978);;;;
384;Propensity to be buried inside (Wertz-Scheraga, 1978);;;;
385;Free energy change of epsilon(i) to epsilon(ex) (Wertz-Scheraga, 1978);;;;
386;Free energy change of alpha(Ri) to alpha(Rh) (Wertz-Scheraga, 1978);;;;
387;Free energy change of epsilon(i) to alpha(Rh) (Wertz-Scheraga, 1978);;;;
388;Polar requirement (Woese, 1973);polarity;;;
389;Hydration potential (Wolfenden et al., 1981);;;;
390;Principal property value z1 (Wold et al., 1987);;;;
391;Principal property value z2 (Wold et al., 1987);;;;
392;Principal property value z3 (Wold et al., 1987);;;;
393;Unfolding Gibbs energy in water, pH7.0 (Yutani et al., 1987);;;;
394;Unfolding Gibbs energy in water, pH9.0 (Yutani et al., 1987);;;;
395;Activation Gibbs energy of unfolding, pH7.0 (Yutani et al., 1987);;;;
396;Activation Gibbs energy of unfolding, pH9.0 (Yutani et al., 1987);;;;
397;Dependence of partition coefficient on ionic strength (Zaslavsky et al., 1982);;;;
398;Hydrophobicity (Zimmerman et al., 1968);hydrophobicity;;;
399;Bulkiness (Zimmerman et al., 1968);size;;;
400;Polarity (Zimmerman et al., 1968);polarity;;;
401;Isoelectric point (Zimmerman et al., 1968);;;;
402;RF rank (Zimmerman et al., 1968);;;;
403;Normalized positional residue frequency at helix termini N4'(Aurora-Rose, 1998);helix;;;
